strategy,date,ticker,category,signal,hit,target_hit,risk_first,max_gain,min_return,net_return,first_hit
5,2026-05-01,AMZN,cloud_and_platform,False,False,False,False,0.036328800758942625,0.0,0.012453393850331953,
1,2026-05-01,ANET,compute_and_network_hardware,False,False,False,True,0.019467213114753967,-0.2308173952641166,-0.09427003642987253,
2,2026-05-01,ANET,compute_and_network_hardware,False,False,False,True,0.019467213114753967,-0.21106557377049184,-0.19502140255009104,
3,2026-05-01,ANET,compute_and_network_hardware,False,False,False,True,0.019467213114753967,-0.2308173952641166,-0.09427003642987253,
5,2026-05-01,ANET,compute_and_network_hardware,False,False,False,True,0.019467213114753967,-0.21106557377049184,-0.19502140255009104,
1,2026-05-01,APH,compute_and_network_hardware,False,False,False,True,0.056918787033809926,-0.17734402230742408,0.03501638201463919,
2,2026-05-01,APH,compute_and_network_hardware,False,False,False,True,0.004670616939700389,-0.1102823283373997,-0.1094939003136981,
3,2026-05-01,APH,compute_and_network_hardware,False,False,False,True,0.056918787033809926,-0.17734402230742408,0.03501638201463919,
5,2026-05-01,APH,compute_and_network_hardware,False,False,False,True,0.004670616939700389,-0.1102823283373997,-0.1094939003136981,
1,2026-05-01,APP,enterprise_ai_software,False,True,True,False,0.32063672906463014,-0.05128825631921263,0.19799999999999995,17
2,2026-05-01,APP,enterprise_ai_software,False,True,True,True,0.09795695033076401,-0.05128825631921263,0.07800000000000007,4
3,2026-05-01,APP,enterprise_ai_software,False,True,True,False,0.32063672906463014,-0.05128825631921263,0.19799999999999995,17
5,2026-05-01,APP,enterprise_ai_software,False,True,True,True,0.09795695033076401,-0.05128825631921263,0.07800000000000007,4
1,2026-05-01,AVGO,semiconductors_and_equipment,False,False,False,False,0.07337135205576084,-0.03207680260153267,0.06627827791925212,
2,2026-05-01,AVGO,semiconductors_and_equipment,False,False,False,False,0.04654304604091197,-0.02849013067441375,0.0261792857740637,
3,2026-05-01,AVGO,semiconductors_and_equipment,False,False,False,False,0.07337135205576084,-0.03207680260153267,0.06627827791925212,
5,2026-05-01,AVGO,semiconductors_and_equipment,False,False,False,False,0.04654304604091197,-0.02849013067441375,0.0261792857740637,
1,2026-05-01,CARR,data_center_power_and_construction,False,False,False,False,0.022033645972904692,-0.09006997171356268,-0.05112907548012513,
2,2026-05-01,CARR,data_center_power_and_construction,False,False,False,False,0.022033645972904692,-0.04600267976775352,-0.007061783534315967,
3,2026-05-01,CARR,data_center_power_and_construction,False,False,False,False,0.022033645972904692,-0.09006997171356268,-0.05112907548012513,
5,2026-05-01,CARR,data_center_power_and_construction,True,False,False,False,0.022033645972904692,-0.04600267976775352,-0.007061783534315967,
1,2026-05-01,CDNS,enterprise_ai_software,False,False,False,False,0.12097669256381804,-0.03161691687598567,0.093069805479292,
2,2026-05-01,CDNS,enterprise_ai_software,False,False,False,False,0.06609615047607931,-0.0051696944915006204,0.05734926105496818,
3,2026-05-01,CDNS,enterprise_ai_software,False,False,False,False,0.12097669256381804,-0.03161691687598567,0.093069805479292,
